fecha,ruta,pasajeros,viajes,dia_semana,mes,festivo,clima
2024-04-10,Ruta A,1321,31,2,4,0,Lluvia
2024-04-11,Ruta A,1336,46,3,4,0,Nublado
2024-04-12,Ruta A,1264,26,4,4,0,Nublado
2024-04-13,Ruta A,888,20,5,4,0,Soleado
2024-04-14,Ruta A,772,21,6,4,0,Nublado
2024-04-15,Ruta A,1754,41,0,4,0,Soleado
2024-04-16,Ruta A,1412,32,1,4,0,Lluvia
2024-04-17,Ruta A,1638,38,2,4,0,Soleado
2024-04-18,Ruta A,1487,42,3,4,0,Nublado
2024-04-19,Ruta A,1628,49,4,4,0,Soleado
2024-04-20,Ruta A,1003,33,5,4,0,Nublado
2024-04-21,Ruta A,769,20,6,4,0,Lluvia
2024-04-22,Ruta A,1404,29,0,4,0,Soleado
2024-04-23,Ruta A,1415,33,1,4,0,Soleado
2024-04-24,Ruta A,1193,30,2,4,0,Lluvia
2024-04-25,Ruta A,1156,29,3,4,0,Nublado
2024-04-26,Ruta A,1394,28,4,4,0,Nublado
2024-04-27,Ruta A,853,21,5,4,0,Nublado
2024-04-28,Ruta A,649,13,6,4,0,Lluvia
2024-04-29,Ruta A,1387,33,0,4,0,Nublado
2024-04-30,Ruta A,1731,54,1,4,0,Soleado
2024-05-01,Ruta A,1757,52,2,5,1,Lluvia
2024-05-02,Ruta A,1564,37,3,5,0,Nublado
2024-05-03,Ruta A,1426,31,4,5,0,Lluvia
2024-05-04,Ruta A,758,19,5,5,0,Lluvia
2024-05-05,Ruta A,662,17,6,5,0,Lluvia
2024-05-06,Ruta A,1586,36,0,5,0,Soleado
2024-05-07,Ruta A,1369,41,1,5,0,Lluvia
2024-05-08,Ruta A,1464,59,2,5,0,Nublado
2024-05-09,Ruta A,1423,32,3,5,0,Soleado
2024-05-10,Ruta A,1648,36,4,5,0,Soleado
2024-05-11,Ruta A,1068,25,5,5,0,Soleado
2024-05-12,Ruta A,808,27,6,5,0,Lluvia
2024-05-13,Ruta A,1321,39,0,5,0,Nublado
2024-05-14,Ruta A,1384,29,1,5,0,Nublado
2024-05-15,Ruta A,1968,62,2,5,0,Soleado
2024-05-16,Ruta A,1557,50,3,5,0,Soleado
2024-05-17,Ruta A,1552,41,4,5,0,Nublado
2024-05-18,Ruta A,993,26,5,5,0,Nublado
2024-05-19,Ruta A,832,26,6,5,0,Soleado
2024-05-20,Ruta A,1417,47,0,5,0,Lluvia
2024-05-21,Ruta A,1218,38,1,5,0,Lluvia
2024-05-22,Ruta A,1527,42,2,5,0,Nublado
2024-05-23,Ruta A,1535,39,3,5,0,Nublado
2024-05-24,Ruta A,1587,59,4,5,0,Soleado
2024-05-25,Ruta A,1083,34,5,5,0,Nublado
2024-05-26,Ruta A,760,21,6,5,0,Lluvia
2024-05-27,Ruta A,1359,29,0,5,0,Nublado
2024-05-28,Ruta A,1676,41,1,5,0,Soleado
2024-05-29,Ruta A,1563,34,2,5,0,Nublado
2024-05-30,Ruta A,1517,61,3,5,0,Soleado
2024-05-31,Ruta A,1313,45,4,5,0,Lluvia
2024-06-01,Ruta A,1342,39,5,6,0,Soleado
2024-06-02,Ruta A,1207,42,6,6,0,Soleado
2024-06-03,Ruta A,1789,47,0,6,0,Soleado
2024-06-04,Ruta A,1739,50,1,6,0,Lluvia
2024-06-05,Ruta A,2505,78,2,6,0,Soleado
2024-06-06,Ruta A,1976,60,3,6,0,Soleado
2024-06-07,Ruta A,1649,39,4,6,0,Lluvia
2024-06-08,Ruta A,1224,39,5,6,0,Soleado
2024-06-09,Ruta A,1049,22,6,6,0,Nublado
2024-06-10,Ruta A,1633,65,0,6,0,Nublado
2024-06-11,Ruta A,1904,61,1,6,0,Nublado
2024-06-12,Ruta A,1788,72,2,6,0,Nublado
2024-06-13,Ruta A,1974,51,3,6,0,Soleado
2024-06-14,Ruta A,1570,41,4,6,0,Soleado
2024-06-15,Ruta A,1456,32,5,6,0,Soleado
2024-06-16,Ruta A,941,22,6,6,0,Nublado
2024-06-17,Ruta A,1676,49,0,6,0,Lluvia
2024-06-18,Ruta A,1662,35,1,6,0,Nublado
2024-06-19,Ruta A,1649,42,2,6,0,Nublado
2024-06-20,Ruta A,1883,51,3,6,0,Nublado
2024-06-21,Ruta A,1599,43,4,6,0,Soleado
2024-06-22,Ruta A,1345,31,5,6,0,Soleado
2024-06-23,Ruta A,1211,40,6,6,0,Soleado
2024-06-24,Ruta A,1601,59,0,6,0,Lluvia
2024-06-25,Ruta A,1893,57,1,6,0,Nublado
2024-06-26,Ruta A,2026,49,2,6,0,Nublado
2024-06-27,Ruta A,2029,49,3,6,0,Soleado
2024-06-28,Ruta A,2101,53,4,6,0,Soleado
2024-06-29,Ruta A,1472,46,5,6,0,Soleado
2024-06-30,Ruta A,1066,31,6,6,0,Lluvia
2024-07-01,Ruta A,2567,78,0,7,0,Soleado
2024-07-02,Ruta A,2006,59,1,7,0,Soleado
2024-07-03,Ruta A,2043,45,2,7,0,Soleado
2024-07-04,Ruta A,2365,76,3,7,0,Soleado
2024-07-05,Ruta A,1771,39,4,7,0,Lluvia
2024-07-06,Ruta A,1378,55,5,7,0,Soleado
2024-07-07,Ruta A,1292,38,6,7,0,Soleado
2024-07-08,Ruta A,1745,65,0,7,0,Lluvia
2024-07-09,Ruta A,1859,43,1,7,0,Lluvia
2024-07-10,Ruta A,1711,36,2,7,0,Lluvia
2024-07-11,Ruta A,1994,52,3,7,0,Nublado
2024-07-12,Ruta A,1525,41,4,7,0,Lluvia
2024-07-13,Ruta A,1369,32,5,7,0,Soleado
2024-07-14,Ruta A,1205,43,6,7,0,Soleado
2024-07-15,Ruta A,2196,54,0,7,0,Soleado
2024-07-16,Ruta A,2244,83,1,7,0,Soleado
2024-07-17,Ruta A,1806,38,2,7,0,Nublado
2024-07-18,Ruta A,1757,36,3,7,0,Lluvia
2024-07-19,Ruta A,1774,45,4,7,0,Soleado
2024-07-20,Ruta A,937,22,5,7,0,Lluvia
2024-07-21,Ruta A,1152,25,6,7,0,Nublado
2024-07-22,Ruta A,2295,88,0,7,0,Soleado
2024-07-23,Ruta A,2078,42,1,7,0,Soleado
2024-07-24,Ruta A,2525,59,2,7,0,Soleado
2024-07-25,Ruta A,1728,40,3,7,0,Lluvia
2024-07-26,Ruta A,1923,55,4,7,0,Nublado
2024-07-27,Ruta A,1160,41,5,7,0,Lluvia
2024-07-28,Ruta A,1378,55,6,7,1,Lluvia
2024-07-29,Ruta A,1842,51,0,7,1,Lluvia
2024-07-30,Ruta A,2136,56,1,7,0,Nublado
2024-07-31,Ruta A,2309,86,2,7,0,Nublado
2024-08-01,Ruta A,1883,54,3,8,0,Soleado
2024-08-02,Ruta A,1542,55,4,8,0,Soleado
2024-08-03,Ruta A,1043,22,5,8,0,Soleado
2024-08-04,Ruta A,847,33,6,8,0,Soleado
2024-08-05,Ruta A,1750,44,0,8,0,Nublado
2024-08-06,Ruta A,1909,39,1,8,0,Soleado
2024-08-07,Ruta A,1504,60,2,8,0,Soleado
2024-08-08,Ruta A,1836,44,3,8,0,Soleado
2024-08-09,Ruta A,1469,46,4,8,0,Soleado
2024-08-10,Ruta A,820,20,5,8,0,Lluvia
2024-08-11,Ruta A,957,20,6,8,0,Nublado
2024-08-12,Ruta A,1680,51,0,8,0,Soleado
2024-08-13,Ruta A,1576,34,1,8,0,Soleado
2024-08-14,Ruta A,1820,55,2,8,0,Nublado
2024-08-15,Ruta A,1674,56,3,8,0,Nublado
2024-08-16,Ruta A,1276,27,4,8,0,Soleado
2024-08-17,Ruta A,1060,41,5,8,0,Soleado
2024-08-18,Ruta A,925,18,6,8,0,Lluvia
2024-08-19,Ruta A,1618,37,0,8,0,Soleado
2024-08-20,Ruta A,1701,37,1,8,0,Soleado
2024-08-21,Ruta A,1558,34,2,8,0,Lluvia
2024-08-22,Ruta A,1498,36,3,8,0,Nublado
2024-08-23,Ruta A,1285,33,4,8,0,Lluvia
2024-08-24,Ruta A,1223,28,5,8,0,Nublado
2024-08-25,Ruta A,1053,30,6,8,0,Soleado
2024-08-26,Ruta A,1596,44,0,8,0,Soleado
2024-08-27,Ruta A,1770,47,1,8,0,Soleado
2024-08-28,Ruta A,1712,39,2,8,0,Nublado
2024-08-29,Ruta A,1635,53,3,8,0,Soleado
2024-08-30,Ruta A,1665,56,4,8,0,Soleado
2024-08-31,Ruta A,1167,26,5,8,0,Soleado
2024-09-01,Ruta A,730,20,6,9,0,Lluvia
2024-09-02,Ruta A,1647,37,0,9,0,Soleado
2024-09-03,Ruta A,1340,32,1,9,0,Lluvia
2024-09-04,Ruta A,1530,33,2,9,0,Soleado
2024-09-05,Ruta A,1467,49,3,9,0,Soleado
2024-09-06,Ruta A,1178,39,4,9,0,Lluvia
2024-09-07,Ruta A,869,32,5,9,0,Soleado
2024-09-08,Ruta A,841,18,6,9,0,Soleado
2024-09-09,Ruta A,1382,31,0,9,0,Nublado
2024-09-10,Ruta A,1386,48,1,9,0,Soleado
2024-09-11,Ruta A,1486,55,2,9,0,Soleado
2024-09-12,Ruta A,1400,41,3,9,0,Soleado
2024-09-13,Ruta A,1333,31,4,9,0,Soleado
2024-09-14,Ruta A,944,30,5,9,0,Nublado
2024-09-15,Ruta A,852,30,6,9,0,Nublado
2024-09-16,Ruta A,1187,27,0,9,0,Lluvia
2024-09-17,Ruta A,1277,44,1,9,0,Lluvia
2024-09-18,Ruta A,1050,29,2,9,0,Lluvia
2024-09-19,Ruta A,1114,45,3,9,0,Lluvia
2024-09-20,Ruta A,1401,48,4,9,0,Soleado
2024-09-21,Ruta A,1003,26,5,9,0,Soleado
2024-09-22,Ruta A,860,22,6,9,0,Nublado
2024-09-23,Ruta A,1523,49,0,9,0,Soleado
2024-09-24,Ruta A,1378,37,1,9,0,Nublado
2024-09-25,Ruta A,1387,34,2,9,0,Nublado
2024-09-26,Ruta A,1426,29,3,9,0,Soleado
2024-09-27,Ruta A,1395,32,4,9,0,Nublado
2024-09-28,Ruta A,997,28,5,9,0,Soleado
2024-09-29,Ruta A,864,32,6,9,0,Nublado
2024-09-30,Ruta A,1338,35,0,9,0,Lluvia
2024-10-01,Ruta A,1339,38,1,10,0,Nublado
2024-10-02,Ruta A,1438,36,2,10,0,Soleado
2024-10-03,Ruta A,1384,36,3,10,0,Lluvia
2024-10-04,Ruta A,1396,30,4,10,0,Lluvia
2024-10-05,Ruta A,913,34,5,10,0,Nublado
2024-10-06,Ruta A,868,22,6,10,0,Nublado
2024-10-07,Ruta A,1448,31,0,10,0,Soleado
2024-10-08,Ruta A,1206,26,1,10,0,Lluvia
2024-10-09,Ruta A,1563,32,2,10,0,Soleado
2024-10-10,Ruta A,1500,36,3,10,0,Soleado
2024-10-11,Ruta A,1172,34,4,10,0,Lluvia
2024-10-12,Ruta A,967,22,5,10,0,Nublado
2024-10-13,Ruta A,786,20,6,10,0,Soleado
2024-10-14,Ruta A,1215,31,0,10,0,Lluvia
2024-10-15,Ruta A,1479,31,1,10,0,Nublado
2024-10-16,Ruta A,1487,48,2,10,0,Lluvia
2024-10-17,Ruta A,1614,42,3,10,0,Nublado
2024-10-18,Ruta A,1494,38,4,10,0,Nublado
2024-10-19,Ruta A,1310,30,5,10,0,Soleado
2024-10-20,Ruta A,714,24,6,10,0,Lluvia
2024-10-21,Ruta A,1263,39,0,10,0,Lluvia
2024-10-22,Ruta A,1359,30,1,10,0,Lluvia
2024-10-23,Ruta A,1477,34,2,10,0,Soleado
2024-10-24,Ruta A,1542,37,3,10,0,Soleado
2024-10-25,Ruta A,1461,30,4,10,0,Soleado
2024-10-26,Ruta A,1003,37,5,10,0,Soleado
2024-10-27,Ruta A,888,29,6,10,0,Soleado
2024-10-28,Ruta A,1732,35,0,10,0,Soleado
2024-10-29,Ruta A,1575,37,1,10,0,Soleado
2024-10-30,Ruta A,1582,61,2,10,0,Lluvia
2024-10-31,Ruta A,1339,34,3,10,0,Lluvia
2024-11-01,Ruta A,1501,33,4,11,0,Nublado
2024-11-02,Ruta A,859,19,5,11,0,Nublado
2024-11-03,Ruta A,687,16,6,11,0,Lluvia
2024-11-04,Ruta A,1328,32,0,11,0,Soleado
2024-11-05,Ruta A,1503,39,1,11,0,Soleado
2024-11-06,Ruta A,1531,51,2,11,0,Soleado
2024-11-07,Ruta A,1297,39,3,11,0,Lluvia
2024-11-08,Ruta A,1250,32,4,11,0,Nublado
2024-11-09,Ruta A,963,23,5,11,0,Nublado
2024-11-10,Ruta A,910,26,6,11,0,Nublado
2024-11-11,Ruta A,1601,38,0,11,0,Soleado
2024-11-12,Ruta A,1474,55,1,11,0,Soleado
2024-11-13,Ruta A,1367,28,2,11,0,Soleado
2024-11-14,Ruta A,1474,53,3,11,0,Soleado
2024-11-15,Ruta A,1274,41,4,11,0,Lluvia
2024-11-16,Ruta A,940,32,5,11,0,Nublado
2024-11-17,Ruta A,744,23,6,11,0,Lluvia
2024-11-18,Ruta A,1207,30,0,11,0,Lluvia
2024-11-19,Ruta A,1674,64,1,11,0,Soleado
2024-11-20,Ruta A,1541,34,2,11,0,Soleado
2024-11-21,Ruta A,1301,32,3,11,0,Lluvia
2024-11-22,Ruta A,1326,44,4,11,0,Nublado
2024-11-23,Ruta A,958,35,5,11,0,Soleado
2024-11-24,Ruta A,626,15,6,11,0,Lluvia
2024-11-25,Ruta A,1339,36,0,11,0,Soleado
2024-11-26,Ruta A,1637,48,1,11,0,Nublado
2024-11-27,Ruta A,1485,57,2,11,0,Soleado
2024-11-28,Ruta A,1217,27,3,11,0,Nublado
2024-11-29,Ruta A,1091,33,4,11,0,Lluvia
2024-11-30,Ruta A,910,28,5,11,0,Nublado
2024-12-01,Ruta A,1315,47,6,12,0,Soleado
2024-12-02,Ruta A,1822,37,0,12,0,Soleado
2024-12-03,Ruta A,2023,78,1,12,0,Lluvia
2024-12-04,Ruta A,2020,59,2,12,0,Nublado
2024-12-05,Ruta A,2030,41,3,12,0,Soleado
2024-12-06,Ruta A,1944,63,4,12,0,Soleado
2024-12-07,Ruta A,1349,54,5,12,0,Soleado
2024-12-08,Ruta A,1006,39,6,12,0,Lluvia
2024-12-09,Ruta A,1859,53,0,12,0,Nublado
2024-12-10,Ruta A,2069,69,1,12,0,Lluvia
2024-12-11,Ruta A,1851,49,2,12,0,Lluvia
2024-12-12,Ruta A,1823,61,3,12,0,Nublado
2024-12-13,Ruta A,1835,52,4,12,0,Soleado
2024-12-14,Ruta A,1198,29,5,12,0,Soleado
2024-12-15,Ruta A,1331,39,6,12,0,Soleado
2024-12-16,Ruta A,2008,54,0,12,0,Soleado
2024-12-17,Ruta A,1941,52,1,12,0,Soleado
2024-12-18,Ruta A,1901,53,2,12,0,Soleado
2024-12-19,Ruta A,1579,37,3,12,0,Lluvia
2024-12-20,Ruta A,2070,49,4,12,0,Soleado
2024-12-21,Ruta A,1201,32,5,12,0,Soleado
2024-12-22,Ruta A,1103,25,6,12,0,Soleado
2024-12-23,Ruta A,2484,53,0,12,0,Soleado
2024-12-24,Ruta A,2476,75,1,12,0,Soleado
2024-12-25,Ruta A,2606,59,2,12,1,Soleado
2024-12-26,Ruta A,2235,46,3,12,0,Soleado
2024-12-27,Ruta A,2068,61,4,12,0,Soleado
2024-12-28,Ruta A,1367,28,5,12,0,Soleado
2024-12-29,Ruta A,1073,22,6,12,0,Soleado
2024-12-30,Ruta A,2242,55,0,12,0,Nublado
2024-12-31,Ruta A,2323,75,1,12,0,Nublado
2025-01-01,Ruta A,1131,23,2,1,1,Lluvia
2025-01-02,Ruta A,1521,52,3,1,0,Soleado
2025-01-03,Ruta A,1352,42,4,1,0,Soleado
2025-01-04,Ruta A,1078,23,5,1,0,Soleado
2025-01-05,Ruta A,738,22,6,1,0,Lluvia
2025-01-06,Ruta A,1082,29,0,1,0,Lluvia
2025-01-07,Ruta A,1529,33,1,1,0,Soleado
2025-01-08,Ruta A,1365,37,2,1,0,Nublado
2025-01-09,Ruta A,1301,41,3,1,0,Lluvia
2025-01-10,Ruta A,1199,46,4,1,0,Lluvia
2025-01-11,Ruta A,821,21,5,1,0,Nublado
2025-01-12,Ruta A,967,22,6,1,0,Soleado
2025-01-13,Ruta A,1120,29,0,1,0,Lluvia
2025-01-14,Ruta A,1315,29,1,1,0,Lluvia
2025-01-15,Ruta A,1537,32,2,1,0,Nublado
2025-01-16,Ruta A,1402,29,3,1,0,Soleado
2025-01-17,Ruta A,1393,41,4,1,0,Soleado
2025-01-18,Ruta A,865,20,5,1,0,Soleado
2025-01-19,Ruta A,788,16,6,1,0,Soleado
2025-01-20,Ruta A,1659,43,0,1,0,Soleado
2025-01-21,Ruta A,1705,52,1,1,0,Nublado
2025-01-22,Ruta A,1542,41,2,1,0,Lluvia
2025-01-23,Ruta A,1413,36,3,1,0,Soleado
2025-01-24,Ruta A,1351,28,4,1,0,Soleado
2025-01-25,Ruta A,934,21,5,1,0,Soleado
2025-01-26,Ruta A,836,17,6,1,0,Nublado
2025-01-27,Ruta A,1383,31,0,1,0,Lluvia
2025-01-28,Ruta A,1259,27,1,1,0,Lluvia
2025-01-29,Ruta A,1395,54,2,1,0,Soleado
2025-01-30,Ruta A,1508,46,3,1,0,Soleado
2025-01-31,Ruta A,1426,45,4,1,0,Nublado
2025-02-01,Ruta A,1240,31,5,2,0,Soleado
2025-02-02,Ruta A,874,19,6,2,0,Soleado
2025-02-03,Ruta A,1460,38,0,2,0,Soleado
2025-02-04,Ruta A,1542,45,1,2,0,Soleado
2025-02-05,Ruta A,1371,38,2,2,0,Nublado
2025-02-06,Ruta A,1281,33,3,2,0,Soleado
2025-02-07,Ruta A,1307,34,4,2,0,Soleado
2025-02-08,Ruta A,740,22,5,2,0,Lluvia
2025-02-09,Ruta A,903,20,6,2,0,Nublado
2025-02-10,Ruta A,1398,34,0,2,0,Soleado
2025-02-11,Ruta A,1445,29,1,2,0,Nublado
2025-02-12,Ruta A,1602,39,2,2,0,Soleado
2025-02-13,Ruta A,1404,48,3,2,0,Soleado
2025-02-14,Ruta A,1112,41,4,2,0,Lluvia
2025-02-15,Ruta A,1035,37,5,2,0,Soleado
2025-02-16,Ruta A,876,25,6,2,0,Soleado
2025-02-17,Ruta A,1224,24,0,2,0,Lluvia
2025-02-18,Ruta A,1156,31,1,2,0,Lluvia
2025-02-19,Ruta A,1310,31,2,2,0,Lluvia
2025-02-20,Ruta A,1443,31,3,2,0,Soleado
2025-02-21,Ruta A,1234,30,4,2,0,Lluvia
2025-02-22,Ruta A,1159,34,5,2,0,Lluvia
2025-02-23,Ruta A,1365,27,6,2,0,Soleado
2025-02-24,Ruta A,1274,32,0,2,0,Nublado
2025-02-25,Ruta A,1421,47,1,2,0,Soleado
2025-02-26,Ruta A,1291,27,2,2,0,Lluvia
2025-02-27,Ruta A,1286,49,3,2,0,Nublado
2025-02-28,Ruta A,987,21,4,2,0,Lluvia
2025-03-01,Ruta A,1139,25,5,3,0,Soleado
2025-03-02,Ruta A,743,15,6,3,0,Lluvia
2025-03-03,Ruta A,1376,32,0,3,0,Soleado
2025-03-04,Ruta A,1385,36,1,3,0,Nublado
2025-03-05,Ruta A,1561,39,2,3,0,Nublado
2025-03-06,Ruta A,1479,34,3,3,0,Soleado
2025-03-07,Ruta A,1659,61,4,3,0,Soleado
2025-03-08,Ruta A,1027,22,5,3,0,Nublado
2025-03-09,Ruta A,801,25,6,3,0,Soleado
2025-03-10,Ruta A,1622,39,0,3,0,Soleado
2025-03-11,Ruta A,1667,48,1,3,0,Soleado
2025-03-12,Ruta A,1284,36,2,3,0,Lluvia
2025-03-13,Ruta A,1399,32,3,3,0,Nublado
2025-03-14,Ruta A,1190,26,4,3,0,Lluvia
2025-03-15,Ruta A,1051,32,5,3,0,Soleado
2025-03-16,Ruta A,818,31,6,3,0,Nublado
2025-03-17,Ruta A,1353,54,0,3,0,Soleado
2025-03-18,Ruta A,1583,45,1,3,0,Soleado
2025-03-19,Ruta A,1566,39,2,3,0,Nublado
2025-03-20,Ruta A,1315,37,3,3,0,Soleado
2025-03-21,Ruta A,1249,27,4,3,0,Nublado
2025-03-22,Ruta A,698,21,5,3,0,Lluvia
2025-03-23,Ruta A,735,19,6,3,0,Lluvia
2025-03-24,Ruta A,1319,39,0,3,0,Soleado
2025-03-25,Ruta A,1484,46,1,3,0,Nublado
2025-03-26,Ruta A,1422,28,2,3,0,Soleado
2025-03-27,Ruta A,1513,35,3,3,0,Soleado
2025-03-28,Ruta A,1261,29,4,3,0,Lluvia
2025-03-29,Ruta A,1136,27,5,3,0,Soleado
2025-03-30,Ruta A,985,27,6,3,0,Soleado
2025-03-31,Ruta A,1506,46,0,3,0,Soleado
2025-04-01,Ruta A,1457,34,1,4,0,Lluvia
2025-04-02,Ruta A,1379,53,2,4,0,Nublado
2025-04-03,Ruta A,1453,35,3,4,0,Nublado
2025-04-04,Ruta A,1423,30,4,4,0,Nublado
2025-04-05,Ruta A,916,34,5,4,0,Nublado
2025-04-06,Ruta A,798,18,6,4,0,Nublado
2025-04-07,Ruta A,1510,42,0,4,0,Nublado
2025-04-08,Ruta A,1516,36,1,4,0,Nublado
2025-04-09,Ruta A,1483,45,2,4,0,Soleado
2025-04-10,Ruta A,1264,28,3,4,0,Soleado
2025-04-11,Ruta A,1385,29,4,4,0,Nublado
2025-04-12,Ruta A,1005,34,5,4,0,Soleado
2025-04-13,Ruta A,745,26,6,4,0,Lluvia
2025-04-14,Ruta A,1481,45,0,4,0,Nublado
2025-04-15,Ruta A,1446,38,1,4,0,Lluvia
2025-04-16,Ruta A,1586,39,2,4,0,Soleado
2025-04-17,Ruta A,1451,58,3,4,0,Nublado
2025-04-18,Ruta A,1560,54,4,4,0,Nublado
2025-04-19,Ruta A,955,33,5,4,0,Nublado
2025-04-20,Ruta A,741,23,6,4,0,Nublado
2025-04-21,Ruta A,1375,42,0,4,0,Nublado
2025-04-22,Ruta A,1464,29,1,4,0,Nublado
2025-04-23,Ruta A,1495,30,2,4,0,Soleado
